Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD
1,10,311-1738-1-ND,CAP CER 10PF 50V C0G/NPO 0603,,10,0,0.034,0.34
2,10,1276-1197-1-ND,CAP CER 56PF 50V C0G/NP0 0603,,10,0,0.03,0.3
3,10,478-10492-1-ND,CAP CER 10UF 25V X5R 0805,,10,0,0.133,1.33
4,4,478-10281-1-ND,CAP CER 0.027UF 25V X7R 0603,,4,0,0.1,0.4
5,4,1276-2261-1-ND,CAP CER 300PF 50V C0G/NP0 0603,,4,0,0.1,0.4
6,10,490-10731-1-ND,CAP CER 2.2UF 25V X5R 0603,,10,0,0.115,1.15
7,100,311-1341-1-ND,CAP CER 0.1UF 25V X7R 0603,,100,0,0.0097,0.97
8,10,399-1091-1-ND,CAP CER 10000PF 50V X7R 0603,,10,0,0.022,0.22
9,10,1276-1063-1-ND,CAP CER 0.047UF 50V X7R 0603,,10,0,0.031,0.31
10,2,1572-1313-ND,CAP ALUM 1000UF 20% 100V T/H,,2,0,2.27,4.54
11,5,1276-6462-1-ND,CAP CER 4.7UF 25V X5R 0805,,5,0,0.15,0.75
12,10,1276-1838-1-ND,CAP CER 1UF 100V X7R 1206,,10,0,0.221,2.21
13,100,478-1249-1-ND,CAP CER 1UF 16V X5R 0603,,100,0,0.0276,2.76
14,4,490-10992-1-ND,CAP CER 4.7UF 35V X5R 0603,,4,0,0.36,1.44
15,2,SK310B-LTPMSCT-ND,DIODE SCHOTTKY 100V 3A DO214AA,,2,0,0.6,1.2
16,3,MBRM120LT1GOSCT-ND,DIODE SCHOTTKY 20V 1A POWERMITE,,3,0,0.43,1.29
17,8,732-4971-1-ND,LED GREEN CLEAR 0603 SMD,,8,0,0.14,1.12
18,2,587-2653-1-ND,FIXED IND 15UH 600MA 480 MOHM,,2,0,0.43,0.86
19,1,587-1664-1-ND,FIXED IND 10UH 840MA 216 MOHM,,1,0,0.33,0.33
20,4,277-1794-ND,CONN TERM BLOCK SPRNG 2POS 2.5MM,,4,0,0.29,1.16
21,1,609-3712-ND,CONN HEADER 10POS UNSHD VERT T/H,,1,0,0.64,0.64
22,1,277-1795-ND,CONN TERM BLOCK SPRNG 3POS 2.5MM,,1,0,0.4,0.4
23,1,277-1797-ND,CONN TERM BLOCK SPRNG 5POS 2.5MM,,1,0,0.62,0.62
24,2,1727-2593-1-ND,MOSFET N-CH 100V LFPAK56,,2,0,0.86,1.72
