Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,10,311-1738-1-ND,CAP CER 10PF 50V C0G/NPO 0603,C1 C3 C46 C47,10,0,0.03400,0.34,
2,10,1276-1197-1-ND,CAP CER 56PF 50V C0G/NP0 0603,C15 C16,10,0,0.03000,0.30,
3,10,478-10492-1-ND,CAP CER 10UF 25V X5R 0805,C12 C17 C18 C32 C33 C72,10,0,0.13300,1.33,
4,4,478-10281-1-ND,CAP CER 0.027UF 25V X7R 0603,C2,4,0,0.10000,0.40,
5,4,1276-2261-1-ND,CAP CER 300PF 50V C0G/NP0 0603,C22,4,0,0.10000,0.40,
6,10,490-10731-1-ND,CAP CER 2.2UF 25V X5R 0603,C20 C23 C24 C34,10,0,0.11500,1.15,
7,100,311-1341-1-ND,CAP CER 0.1UF 25V X7R 0603,CAP 100NF STANDARD,100,0,0.00970,0.97,
8,10,399-1091-1-ND,CAP CER 10000PF 50V X7R 0603,C49 C61 C62 C64 C65,10,0,0.02200,0.22,
9,10,1276-1063-1-ND,CAP CER 0.047UF 50V X7R 0603,C5,10,0,0.03100,0.31,
10,4,1572-1313-ND,CAP ALUM 1000UF 20% 100V T/H,C51 C52,4,0,2.27000,9.08,
11,5,1276-6462-1-ND,CAP CER 4.7UF 25V X5R 0805,C54 C71,5,0,0.15000,0.75,
12,10,1276-1838-1-ND,CAP CER 1UF 100V X7R 1206,C56 C59 C66 C68,10,0,0.22100,2.21,
13,100,478-1249-1-ND,CAP CER 1UF 16V X5R 0603,CAP 1UF STANDARD,100,0,0.02760,2.76,
14,4,490-10992-1-ND,CAP CER 4.7UF 35V X5R 0603,C8 C10,4,0,0.36000,1.44,
15,3,SK310B-LTPMSCT-ND,DIODE SCHOTTKY 100V 3A DO214AA,D13 D14,3,0,0.60000,1.80,
16,4,MBRM120LT1GOSCT-ND,DIODE SCHOTTKY 20V 1A POWERMITE,D2 D3 D8,4,0,0.43000,1.72,
17,12,732-4971-1-ND,LED GREEN CLEAR 0603 SMD,D10 D11 D12 D4 D5 D6 D7 D9,12,0,0.14000,1.68,
18,3,587-2653-1-ND,FIXED IND 15UH 600MA 480 MOHM,L2 L3,3,0,0.43000,1.29,
19,2,587-1664-1-ND,FIXED IND 10UH 840MA 216 MOHM,L1,2,0,0.33000,0.66,
20,6,277-1794-ND,CONN TERM BLOCK SPRNG 2POS 2.5MM,P1 P2 P13 P14,6,0,0.29000,1.74,
21,2,609-3712-ND,CONN HEADER 10POS UNSHD VERT T/H,P4,2,0,0.64000,1.28,
22,2,277-1795-ND,CONN TERM BLOCK SPRNG 3POS 2.5MM,P6,2,0,0.40000,0.80,
23,2,277-1797-ND,CONN TERM BLOCK SPRNG 5POS 2.5MM,P7,2,0,0.62000,1.24,
24,4,1727-2593-1-ND,MOSFET N-CH 100V LFPAK56,Q4 Q10,4,0,0.86000,3.44,
25,4,DMG4712SSS-13DICT-ND,MOSFET N-CH 30V 11.2A 8SOIC,Q1 Q2,4,0,0.60000,2.40,
26,10,IRFP4468PBF-ND,MOSFET N-CH 100V 195A TO-247AC,Q3 Q5 Q6 Q7 Q8 Q9,10,0,6.66300,66.63,
27,10,311-120KHRCT-ND,RES SMD 120K OHM 1% 1/10W 0603,R1 R19,10,0,0.01500,0.15,
28,10,311-100KHRCT-ND,RES SMD 100K OHM 1% 1/10W 0603,R10,10,0,0.01500,0.15,
29,10,311-100HRCT-ND,RES SMD 100 OHM 1% 1/10W 0603,R12 R13 R26 R39,10,0,0.01500,0.15,
30,10,311-120HRCT-ND,RES SMD 120 OHM 1% 1/10W 0603,R15 R27 R28 R29 R30 R32,10,0,0.01500,0.15,
31,10,311-110KHRCT-ND,RES SMD 110K OHM 1% 1/10W 0603,R16,10,0,0.01500,0.15,
32,10,311-470HRCT-ND,RES SMD 470 OHM 1% 1/10W 0603,R2 R33,10,0,0.01500,0.15,
33,10,311-2.20KHRCT-ND,RES SMD 2.2K OHM 1% 1/10W 0603,R22 R57 R58,10,0,0.01500,0.15,
34,10,311-1.80KHRCT-ND,RES SMD 1.8K OHM 1% 1/10W 0603,R20 R21 R23,10,0,0.01500,0.15,
35,10,311-180HRCT-ND,RES SMD 180 OHM 1% 1/10W 0603,R24,10,0,0.01500,0.15,
36,10,311-0.0GRCT-ND,RES SMD 0 OHM JUMPER 1/10W 0603,R31,10,0,0.01000,0.10,
37,10,311-1.00KHRCT-ND,RES SMD 1K OHM 1% 1/10W 0603,R35,10,0,0.01500,0.15,
38,10,311-4.87KHRCT-ND,RES SMD 4.87K OHM 1% 1/10W 0603,R36,10,0,0.01500,0.15,
39,10,311-18.0KHRCT-ND,RES SMD 18K OHM 1% 1/10W 0603,R44,10,0,0.01500,0.15,
40,10,311-2.00KHRCT-ND,RES SMD 2K OHM 1% 1/10W 0603,R45,10,0,0.01500,0.15,
41,15,311-2.2HRCT-ND,RES SMD 2.2 OHM 1% 1/10W 0603,R42 R43 R46 R47 R48 R49,15,0,0.02200,0.33,
42,100,311-10.0KHRCT-ND,RES SMD 10K OHM 1% 1/10W 0603,RES 10K,100,0,0.00600,0.60,
43,10,311-1.00HRCT-ND,RES SMD 1 OHM 1% 1/10W 0603,R56,10,0,0.02200,0.22,
44,10,311-39.0KHRCT-ND,RES SMD 39K OHM 1% 1/10W 0603,R6,10,0,0.01500,0.15,
45,10,311-47.0HRCT-ND,RES SMD 47 OHM 1% 1/10W 0603,R7,10,0,0.01500,0.15,
46,10,311-33.0HRCT-ND,RES SMD 33 OHM 1% 1/10W 0603,R8,10,0,0.01500,0.15,
47,10,311-270KHRCT-ND,RES SMD 270K OHM 1% 1/10W 0603,R9,10,0,0.01500,0.15,
48,2,987-1591-1-ND,TRIMMER 100 OHM 0.25W SMD,RV1,2,0,1.20000,2.40,
49,2,987-1017-1-ND,TRIMMER 50K OHM 0.25W SMD,RV2,2,0,1.20000,2.40,
50,4,150ZCT-ND,RES 150 OHM 2W 5% AXIAL,R64 R65,4,0,0.19000,0.76,
51,2,P59BCCT-ND,RES SMD 59 OHM 0.1% 1/4W 1206,R3,2,0,0.66000,1.32,
52,2,497-1590-1-ND,IC OPAMP GP 1.1MHZ 8SO,U1,2,0,0.35000,0.70,
53,2,MCP1501T-30E/CHYCT-ND,IC VREF SERIES 3V,U10,2,0,0.80000,1.60,
54,2,102-3639-ND,CONV DC/DC 1W 3.3V 303MA OUT,U11,2,0,3.87000,7.74,
55,3,576-2999-1-ND,IC REG LINEAR 5V 150MA SOT23-5,U7 U12,3,0,0.41000,1.23,
56,2,296-37942-ND,IC MCU 32BIT 512KB FLASH 128TQFP,U13,2,0,14.32000,28.64,
57,3,336-3022-ND,DGTL ISO 1KV 4CH GEN PURP 16QSOP,U16 U20,3,0,1.71000,5.13,
58,3,576-1186-ND,IC DRIVER MOSFET 1.5A DUAL 8SOIC,U17 U18,3,0,0.88000,2.64,
59,2,1727-6070-1-ND,IC BUFFER SCHMITT TRIGGER SC74A,U21,2,0,0.29000,0.58,
60,2,CLA114CT-ND,OPTOISO 3.75KV PHVOLT 8SMD,U3,2,0,3.03000,6.06,
61,2,MCP6001T-I/LTCT-ND,IC OPAMP GP 1MHZ RRO SC70-5,U4,2,0,0.27000,0.54,
62,2,ADA4805-1ARJZ-R7CT-ND,IC OPAMP 105MHZ RRO SOT23,U5,2,0,2.92000,5.84,
63,3,296-30344-1-ND,IC DVR HIGH/LOW SIDE 4A 8SOPWR,U6 U19,3,0,3.68000,11.04,
64,2,LT3471EDD#PBF-ND,IC REG MULT CONFIG INV ADJ 10DFN,U8,2,0,5.63000,11.26,
65,2,945-1661-5-ND,DC/DC CONVERTER 3.3V 500MA THRU,U9,2,0,2.70000,5.40,
66,2,644-1041-1-ND,CRYSTAL 25.0000MHZ 8PF SMD,Y1,2,0,0.66000,1.32,
67,1,S9014E-50-ND,CONN HEADER .050" 50POS PCB GOLD,TEST POINTS,1,0,3.60000,3.60,
68,4,490-14491-ND,LEADED NTC THERMISTOR,TEMP PROBE,4,0,0.53000,2.12,
69,2,296-16845-1-ND,IC BUS TRANSCVR 2BIT N-INV SM8,U14,2,0,0.61000,1.22,
70,10,490-4781-1-ND,CAP CER 10000PF 100V X7R 0603,C61 C62 C64 C65,10,0,0.04900,0.49,
