Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,4,P19865-ND,FAN 35X10MM 12VDC W/TACH,,4,0,6.61000,26.44,
2,1,LT3471EDD#PBF-ND,IC REG MULT CONFIG INV ADJ 10DFN,,1,0,5.74000,5.74,
3,1,603-1747-ND,HEATSINK ASSY LGA2011 NARROW,,1,0,38.42000,38.42,
4,1,398-1009-ND,SENSOR CURRENT HALL 100A AC/DC,,1,0,23.65000,23.65,
5,1,336-3022-ND,DGTL ISO 1KV 4CH GEN PURP 16QSOP,,1,0,1.71000,1.71,
6,1,576-2999-1-ND,IC REG LINEAR 5V 150MA SOT23-5,,1,0,0.41000,0.41,
7,4,IRFP4468PBF-ND,MOSFET N-CH 100V 195A TO-247AC,,4,0,7.75000,31.00,
8,2,277-1796-ND,CONN TERM BLOCK SPRNG 4POS 2.5MM,,2,0,0.53000,1.06,
9,4,277-1795-ND,CONN TERM BLOCK SPRNG 3POS 2.5MM,,4,0,0.40000,1.60,
10,1,587-2653-1-ND,FIXED IND 15UH 600MA 480 MOHM,,1,0,0.43000,0.43,
11,2,MBRM120LT1GOSCT-ND,DIODE SCHOTTKY 20V 1A POWERMITE,,2,0,0.43000,0.86,
12,1,SK310B-LTPMSCT-ND,DIODE SCHOTTKY 100V 3A DO214AA,,1,0,0.60000,0.60,
13,10,478-10492-1-ND,CAP CER 10UF 25V X5R 0805,,10,0,0.13300,1.33,
14,10,565-3997-ND,CAP ALUM 560UF 20% 80V RADIAL,,10,0,1.38100,13.81,
15,2,754-1492-ND,LED RGB DIFF 5MM ROUND T/H,,2,0,1.78000,3.56,
