"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H1";"DHS-B10680-04A";1;"DHS-B10680-04A";;;
2;"GNDISO,GNDISO,GND,GND,GND,GND2,GNDISO,GNDISO,GND1,GND8,GND9";"Pin_Header_Straight_1x01";11;"GND_POINT";;;
3;"C50,C29,C6,C9,C14,C30,C31,C38,C39,C40,C41,C42,C43,C44,C45,C53,C57,C58,C63,C35,C36,C69,C70,C74,C75,C76,C77,C73,C27,C55,C80,C81,C82,C85,C86";"C_0603";35;"100n";;;
4;"U13";"TQFP-128_14x14mm_Pitch0.4mm_LONG";1;"TM4C1294KCPDT";;;
5;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**41,REF**11,REF**11,REF**11,REF**11,REF**11,REF**134,REF**124,REF**114,REF**133,REF**123,REF**113,REF**132,REF**122,REF**112,REF**131,REF**121,REF**,REF**,REF**,REF**16,REF**15,REF**14,REF**13,REF**12,REF**18,REF**17,REF**16,REF**15,REF**14,REF**13,REF**12,REF**1118,REF**1117,REF**1116,REF**1115,REF**1114,REF**1113,REF**1112,REF**1116,REF**1115,REF**1114,REF**1113,REF**1112,REF**41,REF**31,REF**21,REF**14,REF**13,REF**12,REF**13,REF**12,REF**41,REF**31,REF**21,REF**11111,REF**11111,REF**6173,REF**6163,REF**6153,REF**6143,REF**6133,REF**6123,REF**6113,REF**6172,REF**6162,REF**6152,REF**6142,REF**6132,REF**6122,REF**6112,REF**6171,REF**6161,REF**6151,REF**6141,REF**6131,REF**6121,REF**6111,REF**114,REF**113,REF**112,REF**1162,REF**1152,REF**1142,REF**1132,REF**1122,REF**1112,REF**1161,REF**1151,REF**1141,REF**1131,REF**1121,REF**61,REF**51,REF**41,REF**31,REF**21,REF**42,REF**32,REF**22,REF**12,REF**41,REF**31,REF**21,REF**116,REF**115,REF**114,REF**113,REF**112,REF**161,REF**151,REF**141,REF**131,REF**121,REF**161,REF**151,REF**141,REF**131,REF**121,REF**115,REF**114,REF**113,REF**112,REF**11121,REF**11111,REF**11121,REF**11122,REF**11122,REF**11112,REF**11121,REF**11111,REF**11111,REF**11114,REF**11113,REF**11112,REF**11111,REF**1111,REF**111,REF**111,REF**111,REF**111,REF**11,REF**11,REF**111,REF**11,REF**11,REF**11,REF**1111,REF**1111,REF**11,REF**11,REF**,REF**,REF**111,REF**";"VIA-0.6mm";163;"VIA-0.6mm";;;
6;"R32,R15,R27,R28,R29";"R_0603";5;"120";;;
7;"P4";"Pin_Header_Straight_2x05_Pitch1.27mm";1;"CONN_02X05";;;
8;"P2";"TERM_4P_2-4_1990025";1;"CONN_01X04";;;
9;"D6,D4,D5,D7";"LED_0603";4;"LED";;;
10;"C56,C59,C66,C68";"C_1206";4;"1u";;;
