Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,1,A102106-ND,RES CHAS MNT 1 OHM 5% 100W,,1,0,10.51000,10.51,
2,6,IRFP4468PBF-ND,MOSFET N-CH 100V 195A TO-247AC,,6,0,7.38000,44.28,
3,1,398-1009-ND,SENSOR CURRENT HALL 100A AC/DC,,1,0,23.65000,23.65,
4,1,603-1747-ND,HEATSINK ASSY LGA2011 NARROW,,1,0,32.13000,32.13,
5,1,CLA113-ND,OPTOISO 3.75KV PHVOLT 8DIP,VBAT / VBUS ISO SENSE,1,0,2.76000,2.76,
6,1,102-2987-5-ND,CONVERT DC/DC 1W 12V 83MA OUT,12V -> 12V ISO,1,0,3.87000,3.87,
7,1,296-37942-ND,IC MCU 32BIT 512KB FLASH 128TQFP,,1,0,14.32000,14.32,
8,1,644-1041-1-ND,CRYSTAL 25.0000MHZ 8PF SMD,MCU CRYSTAL,1,0,0.66000,0.66,
9,10,490-7750-1-ND,CAP CER 10PF 50V C0G/NP0 0201,MCU CRYSTAL,10,0,0.01700,0.17,
10,10,311-1.00KHRCT-ND,RES SMD 1K OHM 1% 1/10W 0603,MCU CRYSTAL,10,0,0.01500,0.15,
11,1,1175-1627-ND,BOX HEADER, 0.050 10 POS,0.050 10 POS,1,0,0.48000,0.48,
12,10,P4.87KHCT-ND,RES SMD 4.87K OHM 1% 1/10W 0603,RBIAS ETHERNET PHY,10,0,0.02100,0.21,
13,1,MCP1501T-30E/CHYCT-ND,IC VREF SERIES 3V,VREFA,1,0,0.80000,0.80,
14,1,497-5225-1-ND,IC REG LINEAR 3.3V 500MA DPAK,3V3 MAIN REGULATOR,1,0,0.71000,0.71,
15,2,MBRM120LT1GOSCT-ND,DIODE SCHOTTKY 20V 1A POWERMITE,+/-12 BOOST CUK,2,0,0.43000,0.86,
16,1,LT3471EDD#PBF-ND,IC REG MULT CONFIG INV ADJ 10DFN,+/-12 BOOST CUK,1,0,5.63000,5.63,
17,10,490-6475-1-ND,CAP CER 4.7UF 25V X5R 0805,+/-12 BOOST CUK,10,0,0.11700,1.17,
18,4,490-3335-1-ND,CAP CER 4.7UF 25V X5R 0805,+/-12 BOOST CUK,4,0,0.16000,0.64,
19,10,1276-1005-1-ND,CAP CER 0.1UF 16V X7R 0603,+/-12 BOOST CUK,10,0,0.01800,0.18,
20,100,311-10.0KHRCT-ND,RES SMD 10K OHM 1% 1/10W 0603,,100,0,0.00600,0.60,
21,10,311-110KHRCT-ND,RES SMD 110K OHM 1% 1/10W 0603,+12V BOOST,10,0,0.01500,0.15,
22,10,311-120KHRCT-ND,RES SMD 120K OHM 1% 1/10W 0603,-12V CUK,10,0,0.01500,0.15,
23,10,1276-1197-1-ND,CAP CER 56PF 50V C0G/NP0 0603,+/-12 BOOST CUK,10,0,0.03000,0.30,
24,1,1034-DMG4712SSS-13DICT-ND,MOSFET N-CH 30V 11.2A 8SOIC,CTRLBAT POL PROTECT,1,0,0.39000,0.39,
25,1,296-26343-1-ND,IC CAN TRANSCEIVER 3.3V 8-SOIC,CAN XCVR,1,0,2.43000,2.43,
26,2,576-2999-1-ND,IC REG LINEAR 5V 150MA SOT23-5,5V RAIL,2,0,0.41000,0.82,
27,1,495-7209-ND,ICL 10 OHM 20% 15A 30.5MM,INRUSH CURRENT LIMIT,1,0,2.68000,2.68,
28,1,ADA4805-1ARJZ-R7CT-ND,IC OPAMP 105MHZ RRO SOT23,ADC BUFFER HALL_SENSE,1,0,2.92000,2.92,
29,1,DMT10H010LK3-13DICT-ND,MOSFET N-CH 100V 68.8A TO252-3,VBUS_ST,1,0,1.31000,1.31,
30,2,576-1186-ND,IC DRIVER MOSFET 1.5A DUAL 8SOIC,AUX GATE DRIVE,2,0,0.88000,1.76,
31,2,277-1794-ND,CONN TERM BLOCK SPRNG 2POS 2.5MM,,2,0,0.29000,0.58,
32,2,277-1795-ND,CONN TERM BLOCK SPRNG 3POS 2.5MM,,2,0,0.40000,0.80,
33,1,277-1797-ND,CONN TERM BLOCK SPRNG 5POS 2.5MM,,1,0,0.62000,0.62,
34,1,1727-4596-1-ND,TXRX TRANSLATING 3ST 8VSSOP,ENCODER LEVEL SHIFT,1,0,0.45000,0.45,
35,2,336-3022-ND,DGTL ISO 1KV 4CH GEN PURP 16QSOP,DIGITAL ISO,2,0,1.71000,3.42,
36,1,587-1664-1-ND,FIXED IND 10UH 840MA 216 MOHM,+12V BOOST,1,0,0.33000,0.33,
37,2,587-2653-1-ND,FIXED IND 15UH 600MA 480 MOHM,-12V CUK,2,0,0.43000,0.86,
38,2,1572-1313-ND,CAP ALUM 1000UF 20% 100V T/H,DC LINK CAP,2,0,2.27000,4.54,
39,10,445-4467-1-ND,CAP CER 1UF 100V X7R 1206,H-BRIDGE DECOUPLE,10,0,0.31600,3.16,
40,1,732-4484-1-ND,FERRITE BEAD 1 KOHM 0603 1LN,VDDA FERRITE,1,0,0.17000,0.17,
41,1,987-1017-1-ND,TRIMMER 50K OHM 0.25W SMD,LINEAR OPTO TRIM,1,0,1.20000,1.20,
42,1,987-1591-1-ND,TRIMMER 100 OHM 0.25W SMD,CURRENT SENSE TRIM,1,0,1.20000,1.20,
43,2,SK310B-LTPMSCT-ND,DIODE SCHOTTKY 100V 3A DO214AA,GD PROTECT,2,0,0.60000,1.20,
44,10,732-4971-1-ND,LED GREEN CLEAR 0603 SMD,,10,0,0.14000,1.40,
45,6,A28248CT-ND,CONN RING FLAT 4AWG #1/4 CRIMP,,6,0,1.77000,10.62,
